alpha,b,table_type,cost,kernel_time,l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum
0.75,4,N,21.677476,0.886036,14694341137
0.75,5,H,23.316891,0.70514,3621586024
0.75,5,N,23.316891,0.811273,14271654560
0.75,6,H,24.894733,0.731122,3680390934
0.75,6,N,24.894733,0.812416,14212630837
0.75,7,H,26.428418,0.690739,3729279416
0.75,7,N,26.428418,0.825401,14098432394
0.75,8,H,27.929266,0.705167,3808829688
0.75,8,N,27.929266,0.810027,14257153196
0.75,9,H,29.405064,0.727006,3849665372
0.75,9,N,29.405064,0.820622,14100979230
0.75,10,H,30.861397,0.732144,3898104287
0.75,10,N,30.861397,0.821679,13996698543
0.75,11,H,32.302429,0.71869,3997713798
0.75,11,N,32.302429,0.835363,14194110403
0.75,12,H,33.731353,0.724368,4048010521
0.75,12,N,33.731353,0.83303,14147565415
0.8,1,H,18.699034,0.815467,4510487762
0.8,1,N,18.699034,1.15784,19804842493
0.8,2,H,21.432121,0.738278,4033965084
0.8,2,N,21.432121,0.965767,17750873584
0.8,3,H,23.757551,0.716512,3918833554
0.8,3,N,23.757551,0.903157,16701417132
0.8,4,H,25.867304,0.704398,3883144602
0.8,4,N,25.867304,0.928919,16294102058
0.8,5,H,27.840348,0.710521,3878285655
0.8,5,N,27.840348,0.857625,15933506283
0.8,6,H,29.718063,0.722629,3915485899
0.8,6,N,29.718063,0.854162,15601986430
0.8,7,H,31.525315,0.71779,3984497915
0.8,7,N,31.525315,0.847948,15540689402
0.8,8,H,33.278377,0.722773,4009749442
0.8,8,N,33.278377,0.853778,15438867548
0.8,9,H,34.988488,0.718893,4040992193
0.8,9,N,34.988488,0.921612,15146298569
0.8,10,H,36.663872,0.724011,4116218926
0.8,10,N,36.663872,0.857646,15207677032
0.8,11,H,38.310689,0.730617,4188290114
0.8,11,N,38.310689,0.868426,15186181126
0.8,12,H,39.933666,0.727852,4243233103
0.8,12,N,39.933666,0.868412,15121896462
0.85,1,H,22.808388,0.880491,5134008018
0.85,1,N,22.808388,1.37325,23415753573
0.85,2,H,26.483277,0.779595,4439857936
0.85,2,N,26.483277,1.06562,20595456197
